text,type,cx,cy,x1,y1,x2,y2,width,height
NO,PORT,4670.8,1452.8,4662.4,1441.5,4679.2,1464.0,16.7,22.5
D03-068-01,REF_SIGNAL,4079.0,1468.3,4013.0,1454.4,4145.0,1482.3,132.0,27.9
FLAG,PORT,901.5,1469.2,881.8,1449.4,921.3,1488.9,39.5,39.5
FLAG,PORT,1921.5,1469.2,1901.8,1449.4,1941.3,1488.9,39.5,39.5
FLAG,PORT,3281.5,1469.2,3261.8,1449.4,3301.3,1488.9,39.5,39.5
3/068,SHEET_REF,4004.4,1472.5,3970.0,1457.1,4038.8,1487.8,68.8,30.7
NO,PORT,950.8,1472.8,942.4,1461.5,959.2,1484.0,16.7,22.5
NO,PORT,1970.8,1472.8,1962.4,1461.5,1979.2,1484.0,16.7,22.5
NO,PORT,3330.8,1472.8,3322.4,1461.5,3339.2,1484.0,16.7,22.5
(D03-068-01),OTHER,3650.8,1475.5,3569.0,1460.1,3732.5,1490.8,163.5,30.7
YES,PORT,4609.0,1510.8,4594.0,1502.4,4624.0,1519.2,30.0,16.7
T,BLOCK_TYPE,4680.4,1514.0,4669.0,1493.1,4691.9,1534.9,22.9,41.8
DH CIRC PP A HYD COUPL,OTHER,574.3,1514.5,398.0,1499.1,750.6,1529.8,352.6,30.7
DH CIRC PP B HYD COUPL,OTHER,1672.3,1514.5,1496.0,1499.1,1848.6,1529.8,352.6,30.7
DH CIRC PP C HYD COUPL,OTHER,2972.1,1514.5,2795.0,1499.1,3149.2,1529.8,354.2,30.7
"Algorithm point			OCB0088055

Enable Transfer Slew Rate		OFF
No->Yes Track Ramp Rate (per sec)	2.5
Yes->No Track Ramp Rate (per sec)	2.5
Output Tracking Option			ON
Input YES Gain				12
Input YES Bias				0
Input NO Gain				1
Input NO Bias				0
Output Top of Scale			1200
Output Bottom of Scale			0",OTHER,4685.0,1515.0,4676.0,1506.0,4694.0,1524.0,18.0,18.0
YES,PORT,889.0,1530.8,874.0,1522.4,904.0,1539.2,30.0,16.7
YES,PORT,1909.0,1530.8,1894.0,1522.4,1924.0,1539.2,30.0,16.7
YES,PORT,3269.0,1530.8,3254.0,1522.4,3284.0,1539.2,30.0,16.7
T,BLOCK_TYPE,960.4,1534.0,949.0,1513.1,971.9,1554.9,22.9,41.8
T,BLOCK_TYPE,1980.4,1534.0,1969.0,1513.1,1991.9,1554.9,22.9,41.8
T,BLOCK_TYPE,3340.4,1534.0,3329.0,1513.1,3351.9,1554.9,22.9,41.8
"Algorithm point			OCB0088010

Enable Transfer Slew Rate		OFF
No->Yes Track Ramp Rate (per sec)	2.5
Yes->No Track Ramp Rate (per sec)	2.5
Output Tracking Option			ON
Input YES Gain				1
Input YES Bias				0
Input NO Gain				1
Input NO Bias				0
Output Top of Scale			1200
Output Bottom of Scale			0",OTHER,965.0,1535.0,956.0,1526.0,974.0,1544.0,18.0,18.0
"Algorithm point			OCB008801D

Enable Transfer Slew Rate		OFF
No->Yes Track Ramp Rate (per sec)	2.5
Yes->No Track Ramp Rate (per sec)	2.5
Output Tracking Option			ON
Input YES Gain				1
Input YES Bias				0
Input NO Gain				1
Input NO Bias				0
Output Top of Scale			1200
Output Bottom of Scale			0",OTHER,1985.0,1535.0,1976.0,1526.0,1994.0,1544.0,18.0,18.0
"Algorithm point			OCB0088031

Enable Transfer Slew Rate		OFF
No->Yes Track Ramp Rate (per sec)	2.5
Yes->No Track Ramp Rate (per sec)	2.5
Output Tracking Option			ON
Input YES Gain				1
Input YES Bias				0
Input NO Gain				1
Input NO Bias				0
Output Top of Scale			1200
Output Bottom of Scale			0",OTHER,3345.0,1535.0,3336.0,1526.0,3354.0,1544.0,18.0,18.0
SPEED P,OTHER,578.5,1550.5,519.0,1535.1,638.0,1565.8,119.0,30.7
SPEED P,OTHER,1678.5,1550.5,1619.0,1535.1,1738.0,1565.8,119.0,30.7
SPEED P,OTHER,2978.5,1550.5,2919.0,1535.1,3038.0,1565.8,119.0,30.7
DESC: No,OTHER,3632.4,1563.5,3569.0,1548.1,3695.7,1578.8,126.7,30.7
