type,x1,y1,x2,y2,color,width
line,1680.0,1960.0,1940.0,1960.0,"(0.0, 0.0, 0.0)",3.0
line,1940.0,1960.0,1940.0,2000.0,"(0.0, 0.0, 0.0)",3.0
line,1680.0,1650.0,1680.0,1680.0,"(0.0, 0.0, 0.0)",3.0
line,1640.0,1760.0,1720.0,1760.0,"(0.0, 0.0, 0.0)",3.0
line,1720.0,1680.0,1640.0,1680.0,"(0.0, 0.0, 0.0)",3.0
line,1720.0,1760.0,1720.0,1680.0,"(0.0, 0.0, 0.0)",3.0
line,1640.0,1680.0,1640.0,1760.0,"(0.0, 0.0, 0.0)",3.0
line,960.0,360.0,960.0,380.0,"(0.0, 0.0, 0.0)",3.0
line,960.0,380.0,960.0,860.0,"(0.0, 0.0, 0.0)",3.0
line,960.0,860.0,960.0,1200.0,"(0.0, 0.0, 0.0)",3.0
line,960.0,860.0,1980.0,860.0,"(0.0, 0.0, 0.0)",3.0
line,1980.0,860.0,3280.0,860.0,"(0.0, 0.0, 0.0)",3.0
line,1980.0,860.0,1980.0,1200.0,"(0.0, 0.0, 0.0)",3.0
line,960.0,250.0,960.0,280.0,"(0.0, 0.0, 0.0)",3.0
line,540.0,1100.0,560.0,1100.0,"(0.0, 0.0, 0.0)",3.0
line,560.0,1100.0,800.0,1100.0,"(0.0, 0.0, 0.0)",3.0
line,800.0,1100.0,920.0,1220.0,"(0.0, 0.0, 0.0)",3.0
line,430.0,1100.0,460.0,1100.0,"(0.0, 0.0, 0.0)",3.0
line,540.0,1420.0,560.0,1420.0,"(0.0, 0.0, 0.0)",3.0
line,560.0,1420.0,800.0,1420.0,"(0.0, 0.0, 0.0)",3.0
line,800.0,1420.0,920.0,1500.0,"(0.0, 0.0, 0.0)",3.0
line,800.0,1420.0,1860.0,1420.0,"(0.0, 0.0, 0.0)",3.0
line,1860.0,1420.0,3200.0,1420.0,"(0.0, 0.0, 0.0)",3.0
line,3200.0,1420.0,3300.0,1500.0,"(0.0, 0.0, 0.0)",3.0
line,1860.0,1420.0,1940.0,1500.0,"(0.0, 0.0, 0.0)",3.0
line,430.0,1420.0,460.0,1420.0,"(0.0, 0.0, 0.0)",3.0
line,1580.0,1100.0,1600.0,1100.0,"(0.0, 0.0, 0.0)",3.0
line,1600.0,1100.0,1860.0,1100.0,"(0.0, 0.0, 0.0)",3.0
line,1860.0,1100.0,1940.0,1220.0,"(0.0, 0.0, 0.0)",3.0
line,1470.0,1100.0,1500.0,1100.0,"(0.0, 0.0, 0.0)",3.0
line,520.0,2640.0,540.0,2640.0,"(0.0, 0.0, 0.0)",3.0
line,540.0,2640.0,800.0,2640.0,"(0.0, 0.0, 0.0)",3.0
line,800.0,2640.0,900.0,2720.0,"(0.0, 0.0, 0.0)",3.0
line,410.0,2640.0,440.0,2640.0,"(0.0, 0.0, 0.0)",3.0
line,1580.0,2640.0,1600.0,2640.0,"(0.0, 0.0, 0.0)",3.0
line,1600.0,2640.0,1860.0,2640.0,"(0.0, 0.0, 0.0)",3.0
line,1860.0,2640.0,1920.0,2720.0,"(0.0, 0.0, 0.0)",3.0
line,1470.0,2640.0,1500.0,2640.0,"(0.0, 0.0, 0.0)",3.0
line,2600.0,1100.0,2620.0,1100.0,"(0.0, 0.0, 0.0)",3.0
line,2620.0,1100.0,3200.0,1100.0,"(0.0, 0.0, 0.0)",3.0
